univ,name,univLabel_en,univLabel_zh,inceptionYear,decade,longitude,latitude,province,macro_region
http://www.wikidata.org/entity/Q7571277,Southwest Forestry University,Southwest Forestry University,西南林业大学,,,,,Yunnan,Southwest
http://www.wikidata.org/entity/Q7571336,Southwest Petroleum University,Southwest Petroleum University,西南石油大学,1958.0,1950,104.182121,30.828126,Sichuan,Southwest
http://www.wikidata.org/entity/Q7651053,Suzhou Polytechnic Institute of Agriculture,Suzhou Polytechnic Institute of Agriculture,苏州农业职业技术学院,1907.0,1900,,,Jiangsu,East
http://www.wikidata.org/entity/Q7676657,Taiyuan Normal University,Taiyuan Normal University,太原师范学院,1999.0,1990,112.7125,37.75,Shanxi,North
http://www.wikidata.org/entity/Q7676659,Taiyuan University of Science and Technology,Taiyuan University of Science and Technology,太原科技大学,1952.0,1950,,,Shanxi,North
http://www.wikidata.org/entity/Q7676661,Taiyuan University of Technology,Taiyuan University of Technology,太原理工大学,1902.0,1900,112.523,37.86,Shanxi,North
http://www.wikidata.org/entity/Q777323,Aurora University,Aurora University,震旦大学,1903.0,1900,121.4433,31.1419,,
http://www.wikidata.org/entity/Q7784898,Army Medical University,Army Medical University,中国人民解放军陆军军医大学,1954.0,1950,106.44666667,29.53722222,,
http://www.wikidata.org/entity/Q7800186,Tianjin Agricultural University,Tianjin Agricultural University,天津农学院,1976.0,1970,,,,
http://www.wikidata.org/entity/Q7800203,Tiangong University,Tiangong University,天津工业大学,1912.0,1910,117.105252,39.06215,,
http://www.wikidata.org/entity/Q7800212,Tianjin University of Commerce,Tianjin University of Commerce,天津商业大学,1980.0,1980,,,,
http://www.wikidata.org/entity/Q7800214,Tianjin University of Radio & TV,Tianjin University of Radio & TV,天津开放大学,1979.0,1970,,,Tianjin,North
http://www.wikidata.org/entity/Q7800215,Tianjin University of Technology and Education,Tianjin University of Technology and Education,天津职业技术师范大学,1959.0,1950,,,,
http://www.wikidata.org/entity/Q7800216,Tianjin University of Finance and Economics,Tianjin University of Finance and Economics,天津财经大学,1958.0,1950,117.274439878,39.062857259,,
http://www.wikidata.org/entity/Q7800217,Tianjin University of Technology,Tianjin University of Technology,天津理工大学,1978.0,1970,117.135,39.059,,
http://www.wikidata.org/entity/Q7853005,Tung Wah College,Tung Wah College,東華學院,2010.0,2010,114.175677,22.312678,Hong Kong,South
http://www.wikidata.org/entity/Q787360,City University of Hong Kong,City University of Hong Kong,香港城市大學,1984.0,1980,114.172988888,22.336422222,,
http://www.wikidata.org/entity/Q7888970,United Nations University International Institute for Software Technology,United Nations University International Institute for Software Technology,聯合國大學國際軟件技術研究所,1992.0,1990,113.549,22.1958,,
http://www.wikidata.org/entity/Q7895880,University of Nanking,University of Nanking,金陵大学,1888.0,1880,,,Jiangsu,East
http://www.wikidata.org/entity/Q7896293,University of Shanghai,University of Shanghai,沪江大学,1906.0,1900,121.55192,31.29554,Shanghai,East
http://www.wikidata.org/entity/Q7896327,University of South China,University of South China,南华大学,2000.0,2000,112.595451,26.904607,Hunan,Central
http://www.wikidata.org/entity/Q7983085,"Wenzhou Medical College, IMS","Wenzhou Medical College, IMS",,2006.0,2000,,,Zhejiang,East
http://www.wikidata.org/entity/Q7983088,Wenzhou University,Wenzhou University,温州大学,1984.0,1980,,,Zhejiang,East
http://www.wikidata.org/entity/Q7987712,Chongqing University of Arts and Sciences,Chongqing University of Arts and Sciences,重庆文理学院,1976.0,1970,105.93527778,29.35277778,,
http://www.wikidata.org/entity/Q8039083,Wuhan Sports University,Wuhan Sports University,武汉体育学院,1953.0,1950,114.373,30.5214,Hubei,Central
http://www.wikidata.org/entity/Q8039394,Wuxi University of Technology,Wuxi University of Technology,无锡职业技术大学,1959.0,1950,,,Jiangsu,East
http://www.wikidata.org/entity/Q8039410,Wuyi University,Wuyi University,武夷学院,1958.0,1950,118.008,27.7276,Hebei,North
http://www.wikidata.org/entity/Q8044029,Xi'an University of Science and Technology,Xi'an University of Science and Technology,西安科技大学,1958.0,1950,108.961991,34.234501,Shaanxi,Northwest
http://www.wikidata.org/entity/Q8044030,Xi'an Polytechnic University,Xi'an Polytechnic University,西安工程大学,1912.0,1910,108.99222222,32.25888889,Shaanxi,Northwest
http://www.wikidata.org/entity/Q8044031,Xi'an Shiyou University,Xi'an Shiyou University,西安石油大学,1951.0,1950,,,Shaanxi,Northwest
http://www.wikidata.org/entity/Q8044115,Xiamen University of Technology,Xiamen University of Technology,厦门理工学院,1981.0,1980,118.09,24.4399,Fujian,East
