univ,univLabel_en,univLabel_zh,inceptionYear,coord,cityLabel,provinceLabel
http://www.wikidata.org/entity/Q3551745,Beijing Sport University,北京体育大学,1953,Point(116.3192935 40.0299048),Shangdi,Haidian District
http://www.wikidata.org/entity/Q4356865,Beijing Technology and Business University,北京工商大学,1950,Point(116.30847 39.9238),Fangshan District,People's Republic of China
http://www.wikidata.org/entity/Q4356865,Beijing Technology and Business University,北京工商大学,1950,Point(116.30847 39.9238),Haidian District,People's Republic of China
http://www.wikidata.org/entity/Q4356865,Beijing Technology and Business University,北京工商大学,1950,Point(116.30847 39.9238),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q4356865,Beijing Technology and Business University,北京工商大学,1950,Point(116.30847 39.9238),Fangshan District,Beijing
http://www.wikidata.org/entity/Q4356865,Beijing Technology and Business University,北京工商大学,1950,Point(116.30847 39.9238),Haidian District,Beijing
http://www.wikidata.org/entity/Q4356865,Beijing Technology and Business University,北京工商大学,1950,Point(116.30847 39.9238),Beijing,Beijing
http://www.wikidata.org/entity/Q4881203,Beijing Union University,北京联合大学,1985,Point(116.42085 39.98903),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q2496210,Beijing University of Chemical Technology,北京化工大学,1958,Point(116.415277777 39.968888888),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q1039400,Beijing University of Chinese Medicine,北京中医药大学,1956,Point(116.42213 39.96985),Hepingjie Subdistrict,Chaoyang District
http://www.wikidata.org/entity/Q4881206,Beijing University of Civil Engineering and Architecture,北京建筑大学,1936,Point(116.336 39.934),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q4881210,Beijing University of Posts and Telecommunications,北京邮电大学,1955,Point(116.352 39.9598),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q1674548,Beijing University of Technology,北京工业大学,1960,Point(116.4775 39.87111111),Nanmofang,Chaoyang District
http://www.wikidata.org/entity/Q4881219,Beijing Wuzi University,北京物资学院,1980,Point(116.6388 39.929),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q28410086,Bengbu University,蚌埠学院,1976,Point(117.416961111 32.891036111),Dongsheng Subdistrict,Longzihu District
http://www.wikidata.org/entity/Q4937990,Bohai University,渤海大学,1950,Point(121.1199 41.0867),Jinzhou,Liaoning
http://www.wikidata.org/entity/Q16923590,Brandon Learning Centre,,2006,Point(114.18180556 22.27713889),Hong Kong,People's Republic of China
http://www.wikidata.org/entity/Q16926382,Canton Law School (Private),私立广州法学院,1929,,Guangzhou,Guangdong
http://www.wikidata.org/entity/Q5035687,Capital Medical University,首都医科大学,1960,Point(116.3529685 39.86671),You'anmen Subdistrict,Fengtai District
http://www.wikidata.org/entity/Q3551814,Capital Normal University,首都师范大学,1954,Point(116.30027778 39.92944444),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q1589630,Capital University of Economics and Business,首都经济贸易大学,1956,Point(116.310594 39.841257),Huaxiang Subdistrict,Fengtai District
http://www.wikidata.org/entity/Q15942570,Capital University of Physical Education and Sports,首都体育学院,1956,Point(116.342313888 39.966944444),Beitaipingzhuang Subdistrict,Haidian District
http://www.wikidata.org/entity/Q5053324,Catholic university in Hong Kong,,,,,
http://www.wikidata.org/entity/Q5059608,Center for Electronic Governance at UNU-IIST,,2007,Point(113.548819 22.195833),,
http://www.wikidata.org/entity/Q136126269,Central Academy for Ethnic Cadres,,1983,,,
http://www.wikidata.org/entity/Q2822274,Central Academy of Drama,中央戏剧学院,1950,Point(116.404397913 39.936204433),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q837873,Central Academy of Fine Arts,中央美术学院,1950,Point(116.463138184 39.984834741),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q1397589,Central China Normal University,华中师范大学,1903,Point(114.369487 30.522385),Wuhan,Hubei
http://www.wikidata.org/entity/Q2994505,Central Conservatory of Music,中央音乐学院,1950,Point(116.35417 39.9011),Jinrongjie Subdistrict,Xicheng District
http://www.wikidata.org/entity/Q10875050,Central Institute for Correctional Police,中央司法警官学院,1956,,Baoding,Hebei
http://www.wikidata.org/entity/Q5061828,Central South University,中南大学,2000,Point(112.925 28.173),Changsha,Hunan
http://www.wikidata.org/entity/Q10872553,Central South University of Forestry and Technology,中南林业科技大学,1958,Point(112.991924 28.13921),Changsha,Hunan
http://www.wikidata.org/entity/Q18384391,Central South University of Technology,中南工業大學,1952,,Changsha,Hunan
http://www.wikidata.org/entity/Q5061957,Central University of Finance and Economics,中央财经大学,1949,Point(116.341 39.959),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q5071561,Chang'an University,长安大学,2000,,Xi'an,Shaanxi
http://www.wikidata.org/entity/Q17030469,Changchun Institute of Technology,长春工程学院,1951,Point(125.281496 43.851575),Changchun,Jilin
http://www.wikidata.org/entity/Q5071739,Changchun Normal University,长春师范大学,1958,Point(125.398283 43.912782),Changchun,Jilin
http://www.wikidata.org/entity/Q5071743,Changchun University,长春大学,1946,,Changchun,Jilin
http://www.wikidata.org/entity/Q11653025,Changchun University of Chinese Medicine,长春中医药大学,,Point(125.420196 43.829779),Changchun,Jilin
http://www.wikidata.org/entity/Q17499649,Changchun University of Science and Technology,长春科技大学,1951,Point(125.299836111 43.880402777),Chaoyang District,Changchun
http://www.wikidata.org/entity/Q17030460,Changchun University of Technology,长春工业大学,1952,Point(125.285808 43.831863),,
http://www.wikidata.org/entity/Q10873058,Changsha Aeronautical Vacational and Technical College,长沙航空职业技术学院,1973,Point(113.044 28.1426),,
http://www.wikidata.org/entity/Q5072115,Changsha University,长沙学院,1970,,Changsha,Hunan
http://www.wikidata.org/entity/Q5072115,Changsha University,长沙学院,1994,,Changsha,Hunan
http://www.wikidata.org/entity/Q5072117,Changsha University of Science and Technology,长沙理工大学,1956,,Changsha,Hunan
http://www.wikidata.org/entity/Q5072160,Changzhi Medical College,长治医学院,1946,,Changzhi,Shanxi
http://www.wikidata.org/entity/Q5072766,Chaohu University,巢湖学院,1977,,,Anhui
http://www.wikidata.org/entity/Q11074629,Chengdu Neusoft University,成都东软学院,2003,Point(103.59675 30.88882),Chengdu,Sichuan
http://www.wikidata.org/entity/Q11074658,"Chengdu Normal University, CDNU",成都师范学院,1955,Point(103.820575 30.676218),Chengdu,Sichuan
http://www.wikidata.org/entity/Q5091323,Chengdu Sport University,成都体育学院,1942,,Chengdu,Sichuan
http://www.wikidata.org/entity/Q22100490,Chengdu Technological University,成都工业学院,1913,Point(103.8852 30.7896),Pidu District,Sichuan
http://www.wikidata.org/entity/Q22100490,Chengdu Technological University,成都工业学院,1913,Point(103.8852 30.7896),Chengdu,Sichuan
http://www.wikidata.org/entity/Q22100490,Chengdu Technological University,成都工业学院,1913,Point(103.8852 30.7896),Pidu District,Chengdu
http://www.wikidata.org/entity/Q22100490,Chengdu Technological University,成都工业学院,1913,Point(103.8852 30.7896),Chengdu,Chengdu
http://www.wikidata.org/entity/Q11074647,Chengdu University,成都大学,1978,Point(104.188 30.6495),Chengdu,Sichuan
http://www.wikidata.org/entity/Q5091337,Chengdu University of Information Technology,成都信息工程大学,1951,Point(103.98694444 30.58444444),Chengdu,Sichuan
http://www.wikidata.org/entity/Q11074630,Chengdu University of TCM,成都中医药大学,1956,,Chengdu,Sichuan
http://www.wikidata.org/entity/Q5091338,Chengdu University of Technology,成都理工大学,1956,Point(104.136944 30.665833),Chengdu,Sichuan
http://www.wikidata.org/entity/Q24836559,Chern Institute of Mathematics,南开大学陈省身数学研究所,1985,Point(117.16336 39.10011),Nankai District,Tianjin
http://www.wikidata.org/entity/Q5097181,Chifeng University,赤峰大学,2003,,Chifeng,Inner Mongolia
http://www.wikidata.org/entity/Q257655,China Agricultural University,中国农业大学,1905,Point(116.352777777 40.0025),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q30944672,China Agricultural University (Yantai),中国农业大学（烟台）,,Point(116.364177 40.011352),,
http://www.wikidata.org/entity/Q10872926,China Fire and Rescue College,中国人民武装警察部队黄金技术学校,1985,,,
http://www.wikidata.org/entity/Q2492920,China Foreign Affairs University,外交学院,1955,Point(116.339124 39.925223),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q5099749,China Jiliang University,中国计量大学,1978,Point(120.364320319 30.318976988),Hangzhou,Zhejiang
http://www.wikidata.org/entity/Q5099779,China Medical University,中国医科大学,1931,Point(123.3725 41.78916667),Shenyang,Liaoning
http://www.wikidata.org/entity/Q5099853,China Pharmaceutical University,中国药科大学,1936,Point(118.77417778 32.07459444),Nanjing,Jiangsu
http://www.wikidata.org/entity/Q3431706,China Three Gorges University,三峡大学,1946,,Yichang,Hubei
http://www.wikidata.org/entity/Q1074097,China University of Geosciences,中国地质大学,1952,,Wuhan,People's Republic of China
http://www.wikidata.org/entity/Q1074097,China University of Geosciences,中国地质大学,1952,,Beijing,People's Republic of China
http://www.wikidata.org/entity/Q1074097,China University of Geosciences,中国地质大学,1952,,Wuhan,Hubei
http://www.wikidata.org/entity/Q1074097,China University of Geosciences,中国地质大学,1952,,Beijing,Hubei
http://www.wikidata.org/entity/Q48880972,"China University of Geosciences, Beijing",中国地质大学（北京）,1952,Point(116.3455 39.9888),Xueyuanlu Subdistrict,Haidian District
http://www.wikidata.org/entity/Q48880933,"China University of Geosciences, Wuhan",中国地质大学（武汉）,1952,Point(114.39451 30.52337),Guanshan Subdistrict,Hubei
http://www.wikidata.org/entity/Q48880933,"China University of Geosciences, Wuhan",中国地质大学（武汉）,1952,Point(114.39451 30.52337),Wuhan,Hubei
http://www.wikidata.org/entity/Q48880933,"China University of Geosciences, Wuhan",中国地质大学（武汉）,1952,Point(114.39451 30.52337),Guanshan Subdistrict,Hongshan District
http://www.wikidata.org/entity/Q48880933,"China University of Geosciences, Wuhan",中国地质大学（武汉）,1952,Point(114.39451 30.52337),Wuhan,Hongshan District
http://www.wikidata.org/entity/Q5099732,China University of Labor Relations,中国劳动关系学院,1946,Point(116.31191 39.92854),Ganjiakou Subdistrict,Haidian District
http://www.wikidata.org/entity/Q1074084,China University of Mining and Technology,中国矿业大学,1909,Point(116.349722 39.996667),Xuzhou,Jiangsu
http://www.wikidata.org/entity/Q17014396,"China University of Mining and Technology, Beijing",中国矿业大学（北京）,,Point(116.3435 39.9978),Xueyuanlu Subdistrict,Haidian District
http://www.wikidata.org/entity/Q15899144,China University of Petroleum,中国石油大学,1953,Point(116.242 40.217),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q3274786,China University of Petroleum (Beijing),中国石油大学（北京）,1953,Point(116.24146 40.21791),Changping District,Beijing
http://www.wikidata.org/entity/Q15703466,China University of Petroleum (East China),中国石油大学（华东）,1953,Point(120.17026 35.94227),Huangdao District,Qingdao
http://www.wikidata.org/entity/Q833961,China University of Political Science and Law,中国政法大学,1952,Point(116.34465027 39.96379852),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q5099970,China West Normal University,西华师范大学,1946,,Nanchong,Sichuan
http://www.wikidata.org/entity/Q4569544,China Women's University,中华女子学院,1949,Point(116.42905 39.99355),Datun Subdistrict,Chaoyang District
http://www.wikidata.org/entity/Q5099978,China Youth University of Political Studies,中国青年政治学院,1948,Point(116.30152 39.94955),Zizhuyuan Subdistrict,Haidian District
http://www.wikidata.org/entity/Q5100405,Chinese Center for Disease Control and Prevention,中国疾病预防控制中心,,Point(116.45693264 39.874177351),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q5100586,Chinese People's Police University,中国人民警察大学,1981,,Langfang,Hebei
http://www.wikidata.org/entity/Q1073795,Chinesisch-Deutsches Hochschulkolleg,,1998,,Shanghai,People's Republic of China
http://www.wikidata.org/entity/Q22100917,"Chongqing College of Humanities, Science and Technology",重庆人文科技学院,2000,,,
http://www.wikidata.org/entity/Q10873125,Chongqing Communication Institute,中国人民解放军重庆通信学院,1955,Point(106.241 29.9986),Chongqing,People's Republic of China
http://www.wikidata.org/entity/Q5104658,Chongqing Jianzhu University,重庆建筑大学,1952,,Chongqing,People's Republic of China
http://www.wikidata.org/entity/Q5104660,Chongqing Jiaotong University,重庆交通大学,1951,Point(106.401388888 19.503888888),Chongqing,People's Republic of China
http://www.wikidata.org/entity/Q5104661,Chongqing Medical University,重庆医科大学,1956,Point(106.505 29.53583333),Chongqing,People's Republic of China
http://www.wikidata.org/entity/Q5104666,Chongqing Normal University,重庆师范大学,1954,Point(106.29944444 29.615),Chongqing,People's Republic of China
http://www.wikidata.org/entity/Q5104672,Chongqing Three Gorges University,重庆三峡科技大学,1956,Point(108.37833333 30.79722222),Wanzhou,Chongqing
http://www.wikidata.org/entity/Q834857,Chongqing University,重庆大学,1929,Point(106.47481537 29.57035065),Chongqing,People's Republic of China
http://www.wikidata.org/entity/Q7987712,Chongqing University of Arts and Sciences,重庆文理学院,1976,Point(105.93527778 29.35277778),Chongqing,People's Republic of China
http://www.wikidata.org/entity/Q7987712,Chongqing University of Arts and Sciences,重庆文理学院,2005,Point(105.93527778 29.35277778),Chongqing,People's Republic of China
http://www.wikidata.org/entity/Q5104676,Chongqing University of Posts and Telecommunications,重庆邮电大学,1950,Point(106.6016 29.5383),Chongqing,People's Republic of China
http://www.wikidata.org/entity/Q15902369,Chongqing University of Science and Technology,重庆科技大学,1951,Point(106.329278 29.6022),Chongqing,People's Republic of China
http://www.wikidata.org/entity/Q15913567,Chongqing University of Technology,重庆理工大学,1940,Point(106.52638889 29.45527778),Chongqing,People's Republic of China
http://www.wikidata.org/entity/Q5115144,"Chu Kochen Honors College, Zhejiang University",竺可桢学院,2000,,Hangzhou,Zhejiang
http://www.wikidata.org/entity/Q787360,City University of Hong Kong,香港城市大學,1984,Point(114.172988888 22.336422222),Hong Kong,People's Republic of China
http://www.wikidata.org/entity/Q109260019,City University of Hong Kong (Dongguan),香港城市大學（東莞）,2024,,Dongguan,Guangdong
http://www.wikidata.org/entity/Q5123484,City University of Macau,澳門城市大學,1981,Point(113.557409 22.164168),Macau,People's Republic of China
http://www.wikidata.org/entity/Q13632376,Civil Aviation Flight University of China,中国民用航空飞行学院,1956,Point(104.25 30.98333333),Luocheng Subdistrict,Guanghan
http://www.wikidata.org/entity/Q3133583,Civil Aviation University of China,中国民航大学,1951,Point(117.346623 39.105388),Xinli Subdistrict,Dongli District
http://www.wikidata.org/entity/Q10379501,College of Military Culture at the PLA National Defense University,中国人民解放军国防大学军事文化学院,1960,Point(116.325 39.9559),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q1765168,Communication University of China,中国传媒大学,1954,Point(116.550162 39.909106),Sanjianfang,Chaoyang District
http://www.wikidata.org/entity/Q11148503,Communication University of Zhejiang,浙江传媒学院,1978,,Hangzhou,Zhejiang
http://www.wikidata.org/entity/Q4222416,Criminal Investigation Police University of China,中国刑事警察学院,1948,Point(123.378918 41.842258),Shenyang,Liaoning
http://www.wikidata.org/entity/Q5206294,DUFE—Surrey International Institute,,2007,,Dalian,Liaoning
http://www.wikidata.org/entity/Q83369844,Dali Technical College,大理技师学院,,,Dali,Dali Bai Autonomous Prefecture
http://www.wikidata.org/entity/Q1622094,Dali University,大理大学,1978,Point(100.15333333 25.67416667),Dali,Dali Bai Autonomous Prefecture
http://www.wikidata.org/entity/Q3467518,Dalian Jiaotong University,大连交通大学,1956,Point(121.571056 38.912758),Dalian,Liaoning
http://www.wikidata.org/entity/Q3467465,Dalian Maritime University,大连海事大学,1909,Point(121.52583333 38.87055556),Dalian,Liaoning
http://www.wikidata.org/entity/Q1074308,Dalian Minzu University,大连民族大学,1997,Point(121.771389 39.046389),Dalian,Liaoning
http://www.wikidata.org/entity/Q1074308,Dalian Minzu University,大连民族大学,1997,Point(121.77139 39.04639),Dalian,Liaoning
http://www.wikidata.org/entity/Q1074308,Dalian Minzu University,大连民族大学,1997,Point(121.777369 39.046839),Dalian,Liaoning
http://www.wikidata.org/entity/Q1018771,Dalian Naval Academy,中国人民解放军海军大连舰艇学院,1949,Point(121.66288889 38.8785),Dalian,Liaoning
http://www.wikidata.org/entity/Q1074363,Dalian Ocean University,大连海洋大学,1952,,,
http://www.wikidata.org/entity/Q647594,Dalian Polytechnic University,大连工业大学,1958,Point(121.531 38.9711),Dalian,Liaoning
http://www.wikidata.org/entity/Q987022,Dalian University,大连大学,1987,Point(121.817 39.0994),Dalian,Liaoning
http://www.wikidata.org/entity/Q1027478,Dalian University of Foreign Languages,大连外国语大学,1964,,Dalian,Liaoning
http://www.wikidata.org/entity/Q1477368,Dalian University of Technology,大连理工大学,1949,Point(121.534 38.8744),Dalian,Liaoning
http://www.wikidata.org/entity/Q11071539,Deutsch-Chinesische Hochschule,德华大学,,Point(120.30549 36.05892),Shinan District,Qingdao
http://www.wikidata.org/entity/Q836014,Dongbei University of Finance and Economics,东北财经大学,1952,,Dalian,Liaoning
http://www.wikidata.org/entity/Q10870909,Dongguan University of Technology,东莞理工学院,1992,Point(113.770712 23.053196),Dongguan,Guangdong
http://www.wikidata.org/entity/Q837544,Donghua University,东华大学,1951,Point(121.414 31.2035),Shanghai,People's Republic of China
http://www.wikidata.org/entity/Q1391751,Duke Kunshan University,昆山杜克大学,2012,Point(120.89332222 31.41768611),Kunshan,Suzhou
http://www.wikidata.org/entity/Q5328079,East China Jiaotong University,华东交通大学,1971,,Nanchang,Jiangxi
http://www.wikidata.org/entity/Q2034790,East China Normal University,华东师范大学,1951,Point(121.4 31.228055555),Shanghai,People's Republic of China
http://www.wikidata.org/entity/Q5328082,East China University of Political Science and Law,华东政法大学,1952,Point(121.414 31.2256),Shanghai,People's Republic of China
http://www.wikidata.org/entity/Q2655352,East China University of Science and Technology,华东理工大学,1952,Point(121.3229 30.72299),Fengxian District,Shanghai
http://www.wikidata.org/entity/Q2655352,East China University of Science and Technology,华东理工大学,1952,Point(121.3229 30.72299),Jinshan District,Shanghai
http://www.wikidata.org/entity/Q2655352,East China University of Science and Technology,华东理工大学,1952,Point(121.5004 30.8364),Fengxian District,Shanghai
http://www.wikidata.org/entity/Q2655352,East China University of Science and Technology,华东理工大学,1952,Point(121.5004 30.8364),Jinshan District,Shanghai
http://www.wikidata.org/entity/Q2655352,East China University of Science and Technology,华东理工大学,1952,Point(121.425 31.143055555),Fengxian District,Shanghai
http://www.wikidata.org/entity/Q2655352,East China University of Science and Technology,华东理工大学,1952,Point(121.425 31.143055555),Jinshan District,Shanghai
http://www.wikidata.org/entity/Q2655352,East China University of Science and Technology,华东理工大学,1952,Point(121.3229 30.72299),Xuhui District,Shanghai
http://www.wikidata.org/entity/Q2655352,East China University of Science and Technology,华东理工大学,1952,Point(121.5004 30.8364),Xuhui District,Shanghai
http://www.wikidata.org/entity/Q2655352,East China University of Science and Technology,华东理工大学,1952,Point(121.425 31.143055555),Xuhui District,Shanghai
http://www.wikidata.org/entity/Q117406370,"Eastern Institute of Technology, Ningbo",宁波东方理工大学,2025,,Ningbo,Zhejiang
http://www.wikidata.org/entity/Q5428985,Faculty of Humanities,,,Point(114.180389 22.304583),Hung Hom,Yau Tsim Mong District
http://www.wikidata.org/entity/Q5428985,Faculty of Humanities,,,Point(114.180389 22.304583),Hung Hom,Kowloon City District
http://www.wikidata.org/entity/Q5461484,Florida International University Tianjin Center,,2003,Point(117.111694 39.178194),Tianjin,People's Republic of China
http://www.wikidata.org/entity/Q676139,Foshan University,佛山大学,1995,Point(113.09083333 23.02722222),Foshan,Guangdong
http://www.wikidata.org/entity/Q676139,Foshan University,佛山大学,1995,Point(113.113239766 23.048899015),Foshan,Guangdong
http://www.wikidata.org/entity/Q676139,Foshan University,佛山大学,1995,Point(113.049345639 23.142597606),Foshan,Guangdong
http://www.wikidata.org/entity/Q495015,Fudan University,复旦大学,1905,Point(121.499166666 31.298888888),Yangpu District,Shanghai
http://www.wikidata.org/entity/Q835185,Fudan University Shanghai Medical College,复旦大学上海医学院,1927,Point(121.45194444 31.19777778),Shanghai,People's Republic of China
http://www.wikidata.org/entity/Q5507366,Fujian Agriculture and Forestry University,福建农林大学,2000,Point(119.235 26.087777777),Fuzhou,Fujian
http://www.wikidata.org/entity/Q48900250,Fujian Business University,福建商学院,,,Fuzhou,Fujian
http://www.wikidata.org/entity/Q5507368,Fujian Medical University,福建医科大学,1937,Point(119.299 26.0674),Fuzhou,Fujian
